,GB,RF,KNN,GNB,ANN
0,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.6,0.4666666666666667
1,0.8421052631578947,0.6842105263157895,0.47368421052631576,0.5789473684210527,0.7368421052631579
2,0.8,0.6666666666666666,0.7,0.6333333333333333,0.6666666666666666
3,0.7096774193548387,0.6774193548387096,0.5483870967741935,0.4838709677419355,0.5161290322580645
4,0.7058823529411765,0.6470588235294118,0.7352941176470589,0.6176470588235294,0.6470588235294118
5,0.75,0.7222222222222222,0.6388888888888888,0.7777777777777778,0.8055555555555556
6,0.6571428571428571,0.7142857142857143,0.6571428571428571,0.5142857142857142,0.6857142857142857
7,0.71875,0.71875,0.59375,0.5625,0.59375
8,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7575757575757576,0.7272727272727273
9,0.5757575757575758,0.45454545454545453,0.36363636363636365,0.5757575757575758,0.48484848484848486
10,0.6285714285714286,0.6571428571428571,0.5142857142857142,0.8285714285714286,0.5428571428571428
11,0.7941176470588235,0.6470588235294118,0.5882352941176471,0.8823529411764706,0.8529411764705882
12,0.5882352941176471,0.5588235294117647,0.5294117647058824,0.6176470588235294,0.6176470588235294
13,0.4857142857142857,0.5142857142857142,0.42857142857142855,0.4857142857142857,0.45714285714285713
14,0.6470588235294118,0.7352941176470589,0.5588235294117647,0.7058823529411765,0.6470588235294118
15,0.7575757575757576,0.7272727272727273,0.7575757575757576,0.6666666666666666,0.7272727272727273
16,0.7575757575757576,0.7575757575757576,0.7878787878787878,0.7575757575757576,0.7575757575757576
17,0.8787878787878788,0.8484848484848485,0.7272727272727273,0.8181818181818182,0.8181818181818182
18,0.375,0.40625,0.5,0.40625,0.28125
19,0.42424242424242425,0.42424242424242425,0.42424242424242425,0.5757575757575758,0.45454545454545453
20,0.6060606060606061,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.6363636363636364
